PHONE_ID;ADDRESS;STATUS;LASTCALL;LOT_NUMB;COMPETITION_NUMB;NAME_SERVICEMAN
1005;675000 Амурская Область Городской Округ Город Благовещенск г Благовещенск 8f41253d-6e3b-48a9-842a-25ba894bd093  ул Театральная 163;Разряд батарейки;2018-05-29 05:20:47;1;289;Благовещенск Город
1006;675000 Амурская Область Городской Округ Город Благовещенск г Благовещенск 8f41253d-6e3b-48a9-842a-25ba894bd093  ул Пионерская 40;Таксофон отзвонился;2018-05-29 05:25:41;1;289;Благовещенск Город
1007;675000 Амурская Область Городской Округ Город Благовещенск г Благовещенск 8f41253d-6e3b-48a9-842a-25ba894bd093  ул Садовая 53;Таксофон отзвонился;2018-05-10 05:30:44;1;289;Благовещенск Город
1008;675525 Амурская область Благовещенский р-н с Прядчино c4038c87-1a79-4b83-87b2-afe14fb8fb6e ул Центральная 24;в ремонте;2017-11-15 11:14:50;1;289;Благовещенский Район
1010;675525 Амурская область Благовещенский р-н с Новопетровка 99f6a35e-ec92-491b-beb6-2696b9fb87ba ул Почтовая 13;в ремонте;2017-11-15 11:15:56;1;289;Благовещенский Район
1011;675004 Амурская область Благовещенский р-н с Владимировка 22affeb4-b5e0-46c5-b425-289d2327c9cb ул Центральная 54;Обрыв МТ;2018-05-29 05:46:38;1;289;Благовещенский Район
1012;675901 Амурская область г.Благовещенск с.Белогорье c555d2d0-aa11-4f0f-8b09-6462f2f844fb ул Заводская 7;Разряд батарейки;2018-05-29 05:50:41;1;289;Благовещенский Район
1014;675901 Амурская область г.Благовещенск п.Мухинка 34c635a5-6c89-42ab-9bc0-c5b5a6d197ba АОДС Василек;Разряд батарейки;2018-05-29 05:55:42;1;289;Благовещенский Район
1015;675901 Амурская область стПризейская ул Вокзальная 5;Разряд батарейки;2018-05-29 01:40:39;1;289;Благовещенский Район
1016;675004 Амурская обл Благовещенский р-н с Ровное efba1286-a414-4727-890c-fa63890d7a9f ул Центральная 51;Таксофон отзвонился;2018-05-29 06:02:10;1;289;Ивановский Район
1017;675503 Амурская обл Благовещенский р-н с Грибское 2bb07e7f-2d4d-498f-b237-a19467156cb1 Центральная 24;в ремонте;2017-11-17 12:42:02;1;289;Тамбовский Район
1018;675503 Амурская обл Благовещенский р-н с Дроново 5bddbd9a-54d6-41e2-8282-d3d4670282bb пер Новый 1;в ремонте;2017-11-15 11:18:29;1;289;Тамбовский Район
1019;675503 Амурская обл Благовещенский р-н с Передовое 8eb06783-110d-4361-b94a-197ae0b4ede4 ул Зеленая 21;в ремонте;2017-11-15 11:19:46;1;289;Тамбовский Район
