длительность сеанса -  5  мин

	СЕАНСЫ ВЫХОДА ТАКСОФОНОВ НА СВЯЗЬ С ЦУТ


   N 	  ID 	NЛП 	      сеанс 1      	     сеанс 2       	     сеанс 3       	      сеанс 4
  444	 1663	 2	 4:20:00 -  4:25:00	12:20:00 - 12:25:00	20:20:00 - 20:25:00	        сеанса нет 
  445	 1664	 2	 4:25:00 -  4:30:00	12:25:00 - 12:30:00	20:25:00 - 20:30:00	        сеанса нет 
  446	 1665	 2	 4:30:00 -  4:35:00	12:30:00 - 12:35:00	20:30:00 - 20:35:00	        сеанса нет 
  447	 1666	 2	 4:35:00 -  4:40:00	12:35:00 - 12:40:00	20:35:00 - 20:40:00	        сеанса нет 
  448	 1667	 2	 4:40:00 -  4:45:00	12:40:00 - 12:45:00	20:40:00 - 20:45:00	        сеанса нет 
  449	 1668	 5	 1:50:00 -  1:55:00	 9:50:00 -  9:55:00	17:50:00 - 17:55:00	        сеанса нет 
  450	 1669	 2	 4:45:00 -  4:50:00	12:45:00 - 12:50:00	20:45:00 - 20:50:00	        сеанса нет 
  451	 1670	 0	 7:55:00 -  8:00:00	15:55:00 - 16:00:00	23:55:00 -  0:00:00	        сеанса нет 
  452	 1671	 3	 7:50:00 -  7:55:00	15:50:00 - 15:55:00	23:50:00 - 23:55:00	        сеанса нет 
  453	 1680	 3	 7:55:00 -  8:00:00	15:55:00 - 16:00:00	23:55:00 -  0:00:00	        сеанса нет 
  454	 1682	 3	 0:00:00 -  0:05:00	 8:00:00 -  8:05:00	16:00:00 - 16:05:00	        сеанса нет 
  455	 1683	 3	 0:05:00 -  0:10:00	 8:05:00 -  8:10:00	16:05:00 - 16:10:00	        сеанса нет 
  456	 3600	 5	 1:55:00 -  2:00:00	 9:55:00 - 10:00:00	17:55:00 - 18:00:00	        сеанса нет 
  457	 3601	 5	 2:00:00 -  2:05:00	10:00:00 - 10:05:00	18:00:00 - 18:05:00	        сеанса нет 
  458	 3602	 5	 2:05:00 -  2:10:00	10:05:00 - 10:10:00	18:05:00 - 18:10:00	        сеанса нет 
  459	 3603	 5	 2:10:00 -  2:15:00	10:10:00 - 10:15:00	18:10:00 - 18:15:00	        сеанса нет 
  460	 3604	 5	 2:15:00 -  2:20:00	10:15:00 - 10:20:00	18:15:00 - 18:20:00	        сеанса нет 
  461	 3605	 5	 2:20:00 -  2:25:00	10:20:00 - 10:25:00	18:20:00 - 18:25:00	        сеанса нет 
  462	 3606	 5	 2:25:00 -  2:30:00	10:25:00 - 10:30:00	18:25:00 - 18:30:00	        сеанса нет 
  463	 3607	 5	 0:30:00 -  0:35:00	 8:30:00 -  8:35:00	16:30:00 - 16:35:00	        сеанса нет 
  464	 3608	 4	 0:00:00 -  0:05:00	 8:00:00 -  8:05:00	16:00:00 - 16:05:00	        сеанса нет 
  465	 3609	 4	 0:10:00 -  0:15:00	 8:10:00 -  8:15:00	16:10:00 - 16:15:00	        сеанса нет 
  466	 3610	 5	 0:35:00 -  0:40:00	 8:35:00 -  8:40:00	16:35:00 - 16:40:00	        сеанса нет 
  467	 3611	 3	 0:10:00 -  0:15:00	 8:10:00 -  8:15:00	16:10:00 - 16:15:00	        сеанса нет 
  468	 3612	 5	 2:30:00 -  2:35:00	10:30:00 - 10:35:00	18:30:00 - 18:35:00	        сеанса нет 
  469	 3613	 5	 2:35:00 -  2:40:00	10:35:00 - 10:40:00	18:35:00 - 18:40:00	        сеанса нет 
  470	 3614	 5	 0:40:00 -  0:45:00	 8:40:00 -  8:45:00	16:40:00 - 16:45:00	        сеанса нет 
  471	 3615	 2	 7:40:00 -  7:45:00	16:00:00 - 16:05:00	23:40:00 - 23:45:00	        сеанса нет 
  472	 3616	 5	 0:50:00 -  0:55:00	 8:50:00 -  8:55:00	16:50:00 - 16:55:00	        сеанса нет 
  473	 3617	 5	 2:40:00 -  2:45:00	10:40:00 - 10:45:00	18:40:00 - 18:45:00	        сеанса нет 
  474	 3618	 4	 0:15:00 -  0:20:00	 8:15:00 -  8:20:00	16:15:00 - 16:20:00	        сеанса нет 
  475	 3619	 3	 0:15:00 -  0:20:00	 8:15:00 -  8:20:00	16:15:00 - 16:20:00	        сеанса нет 
  476	 3620	 5	 0:55:00 -  1:00:00	 8:55:00 -  9:00:00	16:55:00 - 17:00:00	        сеанса нет 
  477	 3621	 4	 0:20:00 -  0:25:00	 8:20:00 -  8:25:00	16:20:00 - 16:25:00	        сеанса нет 
  478	 3800	 5	 2:45:00 -  2:50:00	10:45:00 - 10:50:00	18:45:00 - 18:50:00	        сеанса нет 
  479	 3801	 5	 2:50:00 -  2:55:00	10:50:00 - 10:55:00	18:50:00 - 18:55:00	        сеанса нет 
  480	 3802	 5	 2:55:00 -  3:00:00	10:55:00 - 11:00:00	18:55:00 - 19:00:00	        сеанса нет 
  481	 3803	 5	 3:00:00 -  3:05:00	11:00:00 - 11:05:00	19:00:00 - 19:05:00	        сеанса нет 
  482	 3804	 4	13:45:00 - 13:50:00	 5:45:00 -  5:50:00	21:45:00 - 21:50:00	        сеанса нет 
  483	 3805	 4	13:50:00 - 13:55:00	 5:50:00 -  5:55:00	21:50:00 - 21:55:00	        сеанса нет 
  484	 3806	 4	13:55:00 - 14:00:00	 5:55:00 -  6:00:00	21:55:00 - 22:00:00	        сеанса нет 
  485	 3807	 5	 3:05:00 -  3:10:00	11:05:00 - 11:10:00	19:05:00 - 19:10:00	        сеанса нет 
  486	 3808	 5	 3:10:00 -  3:15:00	11:10:00 - 11:15:00	19:10:00 - 19:15:00	        сеанса нет 
  487	 3809	 4	14:05:00 - 14:10:00	 6:05:00 -  6:10:00	22:05:00 - 22:10:00	        сеанса нет 
  488	 3810	 4	14:10:00 - 14:15:00	 6:10:00 -  6:15:00	22:10:00 - 22:15:00	        сеанса нет 
  489	 3811	 5	 3:15:00 -  3:20:00	11:15:00 - 11:20:00	19:15:00 - 19:20:00	        сеанса нет 
  490	 3812	 4	14:15:00 - 14:20:00	 6:15:00 -  6:20:00	22:15:00 - 22:20:00	        сеанса нет 
  491	 3813	 5	 3:20:00 -  3:25:00	11:20:00 - 11:25:00	19:20:00 - 19:25:00	        сеанса нет 
  492	 3814	 5	 3:25:00 -  3:30:00	11:25:00 - 11:30:00	19:25:00 - 19:30:00	        сеанса нет 
  493	 3815	 4	14:20:00 - 14:25:00	 6:20:00 -  6:25:00	22:20:00 - 22:25:00	        сеанса нет 
  494	 3816	 5	 3:30:00 -  3:35:00	11:30:00 - 11:35:00	19:30:00 - 19:35:00	        сеанса нет 
  495	 3817	 5	 3:35:00 -  3:40:00	11:35:00 - 11:40:00	19:35:00 - 19:40:00	        сеанса нет 
  496	 3818	 5	 3:40:00 -  3:45:00	11:40:00 - 11:45:00	19:40:00 - 19:45:00	        сеанса нет 
  497	 3819	 5	 3:45:00 -  3:50:00	11:45:00 - 11:50:00	19:45:00 - 19:50:00	        сеанса нет 
  498	 3820	 5	 3:50:00 -  3:55:00	11:50:00 - 11:55:00	19:50:00 - 19:55:00	        сеанса нет 
  499	 3821	 5	 3:55:00 -  4:00:00	11:55:00 - 12:00:00	19:55:00 - 20:00:00	        сеанса нет 
  500	 3822	 5	 4:00:00 -  4:05:00	12:00:00 - 12:05:00	20:00:00 - 20:05:00	        сеанса нет 
  501	 3823	 4	14:25:00 - 14:30:00	 6:25:00 -  6:30:00	22:25:00 - 22:30:00	        сеанса нет 
  502	 3824	 5	 4:05:00 -  4:10:00	12:05:00 - 12:10:00	20:05:00 - 20:10:00	        сеанса нет 
  503	 3825	 5	 4:10:00 -  4:15:00	12:10:00 - 12:15:00	20:10:00 - 20:15:00	        сеанса нет 
  504	 3826	 5	 4:15:00 -  4:20:00	12:15:00 - 12:20:00	20:15:00 - 20:20:00	        сеанса нет 
  505	 5200	 4	 4:00:00 -  4:05:00	12:00:00 - 12:05:00	20:00:00 - 20:05:00	        сеанса нет 
  506	 5201	 4	11:05:00 - 11:10:00	 4:05:00 -  4:10:00	20:05:00 - 20:10:00	        сеанса нет 
  507	 5202	 5	 4:20:00 -  4:25:00	12:20:00 - 12:25:00	20:20:00 - 20:25:00	        сеанса нет 
  508	 5203	 3	 0:20:00 -  0:25:00	 8:20:00 -  8:25:00	16:20:00 - 16:25:00	        сеанса нет 
  509	 5204	 4	 4:10:00 -  4:15:00	12:10:00 - 12:15:00	20:10:00 - 20:15:00	        сеанса нет 
  510	 5205	 4	12:15:00 - 12:20:00	 4:15:00 -  4:20:00	20:15:00 - 20:20:00	        сеанса нет 
  511	 5206	 4	12:20:00 - 12:25:00	 4:20:00 -  4:25:00	20:20:00 - 20:25:00	        сеанса нет 
  512	 5207	 4	 4:25:00 -  4:30:00	12:25:00 - 12:30:00	20:25:00 - 20:30:00	        сеанса нет 
  513	 5208	 4	12:30:00 - 12:35:00	 4:30:00 -  4:35:00	20:30:00 - 20:35:00	        сеанса нет 
  514	 5209	 4	 4:35:00 -  4:40:00	12:35:00 - 12:40:00	20:35:00 - 20:40:00	        сеанса нет 
  515	 5210	 4	 4:40:00 -  4:45:00	12:40:00 - 12:45:00	20:40:00 - 20:45:00	        сеанса нет 
  516	 5211	 4	 4:45:00 -  4:50:00	12:45:00 - 12:50:00	20:45:00 - 20:50:00	        сеанса нет 
  517	 5212	 4	12:50:00 - 12:55:00	 4:50:00 -  4:55:00	20:50:00 - 20:55:00	        сеанса нет 
  518	 5213	 5	 4:25:00 -  4:30:00	12:25:00 - 12:30:00	20:25:00 - 20:30:00	        сеанса нет 
  519	 5214	 5	 4:30:00 -  4:35:00	12:30:00 - 12:35:00	20:30:00 - 20:35:00	        сеанса нет 
  520	 5215	 4	 4:55:00 -  5:00:00	12:55:00 - 13:00:00	20:55:00 - 21:00:00	        сеанса нет 
  521	 5216	 4	13:10:00 - 13:15:00	 5:10:00 -  5:15:00	21:10:00 - 21:15:00	        сеанса нет 
  522	 5217	 5	 4:35:00 -  4:40:00	12:35:00 - 12:40:00	20:35:00 - 20:40:00	        сеанса нет 
  523	 5218	 4	 5:15:00 -  5:20:00	13:15:00 - 13:20:00	21:15:00 - 21:20:00	        сеанса нет 
  524	 5219	 5	 4:40:00 -  4:45:00	12:40:00 - 12:45:00	20:40:00 - 20:45:00	        сеанса нет 
  525	 5220	 4	 5:20:00 -  5:25:00	13:20:00 - 13:25:00	21:20:00 - 21:25:00	        сеанса нет 
  526	 5221	 4	 5:25:00 -  5:30:00	13:25:00 - 13:30:00	21:25:00 - 21:30:00	        сеанса нет 
  527	 5222	 4	 5:30:00 -  5:35:00	13:30:00 - 13:35:00	21:30:00 - 21:35:00	        сеанса нет 
  528	 5300	 5	 4:45:00 -  4:50:00	12:45:00 - 12:50:00	20:45:00 - 20:50:00	        сеанса нет 
  529	 5301	 4	 1:00:00 -  1:05:00	 9:00:00 -  9:05:00	17:00:00 - 17:05:00	        сеанса нет 
  530	 5302	 5	 4:50:00 -  4:55:00	12:50:00 - 12:55:00	20:50:00 - 20:55:00	        сеанса нет 
  531	 5303	 5	 4:55:00 -  5:00:00	12:55:00 - 13:00:00	20:55:00 - 21:00:00	        сеанса нет 
  532	 5304	 5	 5:00:00 -  5:05:00	13:00:00 - 13:05:00	21:00:00 - 21:05:00	        сеанса нет 
  533	 5305	 5	 5:05:00 -  5:10:00	13:05:00 - 13:10:00	21:05:00 - 21:10:00	        сеанса нет 
  534	 5306	 5	 5:10:00 -  5:15:00	13:10:00 - 13:15:00	21:10:00 - 21:15:00	        сеанса нет 
  535	 5307	 5	 5:15:00 -  5:20:00	13:15:00 - 13:20:00	21:15:00 - 21:20:00	        сеанса нет 
  536	 5308	 5	 5:20:00 -  5:25:00	13:20:00 - 13:25:00	21:20:00 - 21:25:00	        сеанса нет 
  537	 5309	 2	 0:10:00 -  0:15:00	13:35:00 - 13:40:00	16:50:00 - 16:55:00	        сеанса нет 
  538	 5310	 2	 0:20:00 -  0:25:00	 8:55:00 -  9:00:00	20:50:00 - 20:55:00	        сеанса нет 
  539	 5311	 5	 5:25:00 -  5:30:00	13:25:00 - 13:30:00	21:25:00 - 21:30:00	        сеанса нет 
  540	 5312	 2	 0:00:00 -  0:05:00	 8:00:00 -  8:05:00	16:55:00 - 17:00:00	        сеанса нет 
  541	 5400	 5	 5:30:00 -  5:35:00	13:30:00 - 13:35:00	21:30:00 - 21:35:00	        сеанса нет 
  542	 5401	 5	 5:35:00 -  5:40:00	13:35:00 - 13:40:00	21:35:00 - 21:40:00	        сеанса нет 
  543	 5402	 5	 5:40:00 -  5:45:00	13:40:00 - 13:45:00	21:40:00 - 21:45:00	        сеанса нет 
  544	 5403	 5	 5:45:00 -  5:50:00	13:45:00 - 13:50:00	21:45:00 - 21:50:00	        сеанса нет 
  545	 5404	 2	 0:15:00 -  0:20:00	 8:15:00 -  8:20:00	16:15:00 - 16:20:00	        сеанса нет 
  546	 5405	 5	 5:50:00 -  5:55:00	13:50:00 - 13:55:00	21:50:00 - 21:55:00	        сеанса нет 
  547	 5406	 4	13:35:00 - 13:40:00	 5:35:00 -  5:40:00	21:35:00 - 21:40:00	        сеанса нет 
  548	 5407	 5	 5:55:00 -  6:00:00	13:55:00 - 14:00:00	21:55:00 - 22:00:00	        сеанса нет 
  549	 5408	 4	13:40:00 - 13:45:00	 5:40:00 -  5:45:00	21:40:00 - 21:45:00	        сеанса нет 
  550	 5409	 5	 6:00:00 -  6:05:00	14:00:00 - 14:05:00	22:00:00 - 22:05:00	        сеанса нет 
  551	 5410	 5	 6:05:00 -  6:10:00	14:05:00 - 14:10:00	22:05:00 - 22:10:00	        сеанса нет 
  552	 5600	 5	 6:10:00 -  6:15:00	14:10:00 - 14:15:00	22:10:00 - 22:15:00	        сеанса нет 
  553	 5601	 5	 6:15:00 -  6:20:00	14:15:00 - 14:20:00	22:15:00 - 22:20:00	        сеанса нет 
  554	 5602	 5	 6:20:00 -  6:25:00	14:20:00 - 14:25:00	22:20:00 - 22:25:00	        сеанса нет 
  555	 5603	 2	 7:50:00 -  7:55:00	15:50:00 - 15:55:00	23:50:00 - 23:55:00	        сеанса нет 
  556	 5604	 2	 0:25:00 -  0:30:00	 8:25:00 -  8:30:00	16:25:00 - 16:30:00	        сеанса нет 
  557	 5605	 5	 6:25:00 -  6:30:00	14:25:00 - 14:30:00	22:25:00 - 22:30:00	        сеанса нет 
  558	 5606	 6	 0:50:00 -  0:55:00	 8:50:00 -  8:55:00	16:50:00 - 16:55:00	        сеанса нет 
  559	 5800	 3	 0:25:00 -  0:30:00	 8:25:00 -  8:30:00	16:25:00 - 16:30:00	        сеанса нет 
  560	 5801	 5	 6:30:00 -  6:35:00	14:30:00 - 14:35:00	22:30:00 - 22:35:00	        сеанса нет 
  561	 5802	 5	 6:35:00 -  6:40:00	14:35:00 - 14:40:00	22:35:00 - 22:40:00	        сеанса нет 
  562	 5803	 5	 6:40:00 -  6:45:00	14:40:00 - 14:45:00	22:40:00 - 22:45:00	        сеанса нет 
  563	 5804	 0	 0:30:00 -  0:35:00	 8:30:00 -  8:35:00	16:30:00 - 16:35:00	        сеанса нет 
  564	 5805	 2	 0:30:00 -  0:35:00	 8:30:00 -  8:35:00	16:30:00 - 16:35:00	        сеанса нет 
  565	 5806	 5	 0:00:00 -  0:05:00	 8:00:00 -  8:05:00	16:00:00 - 16:05:00	        сеанса нет 
  566	 5807	 5	 6:45:00 -  6:50:00	14:45:00 - 14:50:00	22:45:00 - 22:50:00	        сеанса нет 
  567	 5808	 5	 6:50:00 -  6:55:00	14:50:00 - 14:55:00	22:50:00 - 22:55:00	        сеанса нет 
  568	 5809	 5	 6:55:00 -  7:00:00	14:55:00 - 15:00:00	22:55:00 - 23:00:00	        сеанса нет 
  569	 5810	 6	 0:55:00 -  1:00:00	 8:55:00 -  9:00:00	16:55:00 - 17:00:00	        сеанса нет 
  570	 5811	 6	 0:30:00 -  0:35:00	 8:30:00 -  8:35:00	16:30:00 - 16:35:00	        сеанса нет 
  571	 5812	 5	 7:00:00 -  7:05:00	15:00:00 - 15:05:00	23:00:00 - 23:05:00	        сеанса нет 
  572	 5813	 5	 7:05:00 -  7:10:00	15:05:00 - 15:10:00	23:05:00 - 23:10:00	        сеанса нет 
  573	 5814	 5	 0:05:00 -  0:10:00	 8:05:00 -  8:10:00	16:05:00 - 16:10:00	        сеанса нет 
  574	 5815	 5	 7:10:00 -  7:15:00	15:10:00 - 15:15:00	23:10:00 - 23:15:00	        сеанса нет 
  575	 5816	 4	 5:00:00 -  5:05:00	13:00:00 - 13:05:00	21:00:00 - 21:05:00	        сеанса нет 
  576	 5817	 5	 7:15:00 -  7:20:00	15:15:00 - 15:20:00	23:15:00 - 23:20:00	        сеанса нет 
  577	 5818	 4	 5:05:00 -  5:10:00	13:05:00 - 13:10:00	21:05:00 - 21:10:00	        сеанса нет 
  578	 5819	 5	 7:20:00 -  7:25:00	15:20:00 - 15:25:00	23:20:00 - 23:25:00	        сеанса нет 
  579	 5820	 5	 7:25:00 -  7:30:00	15:25:00 - 15:30:00	23:25:00 - 23:30:00	        сеанса нет 
  580	 5821	 6	 0:35:00 -  0:40:00	 8:35:00 -  8:40:00	16:35:00 - 16:40:00	        сеанса нет 
  581	 5822	 5	 7:30:00 -  7:35:00	15:30:00 - 15:35:00	23:30:00 - 23:35:00	        сеанса нет 
  582	 5823	 4	 6:00:00 -  6:05:00	14:00:00 - 14:05:00	22:00:00 - 22:05:00	        сеанса нет 
  583	 5824	 5	 7:35:00 -  7:40:00	15:35:00 - 15:40:00	23:35:00 - 23:40:00	        сеанса нет 
  584	 5825	 5	 7:40:00 -  7:45:00	15:40:00 - 15:45:00	23:40:00 - 23:45:00	        сеанса нет 
