длительность сеанса -  5  мин

	СЕАНСЫ ВЫХОДА ТАКСОФОНОВ НА СВЯЗЬ С ЦУТ


   N 	  ID 	NЛП 	      сеанс 1      	     сеанс 2       	     сеанс 3       	      сеанс 4
  127	 1020	 3	 1:50:00 -  1:55:00	 9:50:00 -  9:55:00	17:50:00 - 17:55:00	        сеанса нет 
  128	 1021	 0	 6:15:00 -  6:20:00	14:15:00 - 14:20:00	22:15:00 - 22:20:00	        сеанса нет 
  129	 1022	 0	 6:20:00 -  6:25:00	14:20:00 - 14:25:00	22:20:00 - 22:25:00	        сеанса нет 
  130	 1023	 3	 1:55:00 -  2:00:00	 9:55:00 - 10:00:00	17:55:00 - 18:00:00	        сеанса нет 
  131	 1024	 0	 6:25:00 -  6:30:00	14:25:00 - 14:30:00	22:25:00 - 22:30:00	        сеанса нет 
  132	 1025	 0	 6:30:00 -  6:35:00	14:30:00 - 14:35:00	22:30:00 - 22:35:00	        сеанса нет 
  133	 1026	 0	 6:35:00 -  6:40:00	14:35:00 - 14:40:00	22:35:00 - 22:40:00	        сеанса нет 
  134	 1027	 6	 1:50:00 -  1:55:00	 9:50:00 -  9:55:00	17:50:00 - 17:55:00	        сеанса нет 
  135	 1029	 0	 6:40:00 -  6:45:00	14:40:00 - 14:45:00	22:40:00 - 22:45:00	        сеанса нет 
  136	 1030	 0	 6:45:00 -  6:50:00	14:45:00 - 14:50:00	22:45:00 - 22:50:00	        сеанса нет 
  137	 1031	 3	 2:00:00 -  2:05:00	10:00:00 - 10:05:00	18:00:00 - 18:05:00	        сеанса нет 
  138	 1032	 0	 6:50:00 -  6:55:00	14:50:00 - 14:55:00	22:50:00 - 22:55:00	        сеанса нет 
  139	 1033	 6	 1:55:00 -  2:00:00	 9:55:00 - 10:00:00	17:55:00 - 18:00:00	        сеанса нет 
  140	 1034	 3	 2:05:00 -  2:10:00	10:05:00 - 10:10:00	18:05:00 - 18:10:00	        сеанса нет 
  141	 1035	 6	 2:00:00 -  2:05:00	10:00:00 - 10:05:00	18:00:00 - 18:05:00	        сеанса нет 
  142	 1036	 3	 2:10:00 -  2:15:00	10:10:00 - 10:15:00	18:10:00 - 18:15:00	        сеанса нет 
  143	 1037	 3	 2:15:00 -  2:20:00	10:15:00 - 10:20:00	18:15:00 - 18:20:00	        сеанса нет 
  144	 1038	 6	 2:05:00 -  2:10:00	10:05:00 - 10:10:00	18:05:00 - 18:10:00	        сеанса нет 
  145	 1039	 6	 2:10:00 -  2:15:00	10:10:00 - 10:15:00	18:10:00 - 18:15:00	        сеанса нет 
  146	 1040	 6	 2:15:00 -  2:20:00	10:15:00 - 10:20:00	18:15:00 - 18:20:00	        сеанса нет 
  147	 1041	 3	 2:20:00 -  2:25:00	10:20:00 - 10:25:00	18:20:00 - 18:25:00	        сеанса нет 
  148	 1042	 6	 2:20:00 -  2:25:00	10:20:00 - 10:25:00	18:20:00 - 18:25:00	        сеанса нет 
  149	 1043	 3	 2:25:00 -  2:30:00	10:25:00 - 10:30:00	18:25:00 - 18:30:00	        сеанса нет 
  150	 1044	 3	 2:30:00 -  2:35:00	10:30:00 - 10:35:00	18:30:00 - 18:35:00	        сеанса нет 
  151	 1045	 6	 2:25:00 -  2:30:00	10:25:00 - 10:30:00	18:25:00 - 18:30:00	        сеанса нет 
  152	 1046	 6	 2:30:00 -  2:35:00	10:30:00 - 10:35:00	18:30:00 - 18:35:00	        сеанса нет 
  153	 1047	 6	 2:35:00 -  2:40:00	10:35:00 - 10:40:00	18:35:00 - 18:40:00	        сеанса нет 
  154	 1048	 6	 2:40:00 -  2:45:00	10:40:00 - 10:45:00	18:40:00 - 18:45:00	        сеанса нет 
  155	 1049	 3	 2:35:00 -  2:40:00	10:35:00 - 10:40:00	18:35:00 - 18:40:00	        сеанса нет 
  156	 1050	 6	 2:45:00 -  2:50:00	10:45:00 - 10:50:00	18:45:00 - 18:50:00	        сеанса нет 
  157	 1051	 6	 2:50:00 -  2:55:00	10:50:00 - 10:55:00	18:50:00 - 18:55:00	        сеанса нет 
  158	 1052	 6	 2:55:00 -  3:00:00	10:55:00 - 11:00:00	18:55:00 - 19:00:00	        сеанса нет 
  159	 1053	 0	 6:55:00 -  7:00:00	14:55:00 - 15:00:00	22:55:00 - 23:00:00	        сеанса нет 
  160	 1054	 3	 2:40:00 -  2:45:00	10:40:00 - 10:45:00	18:40:00 - 18:45:00	        сеанса нет 
  161	 1055	 3	 2:45:00 -  2:50:00	10:45:00 - 10:50:00	18:45:00 - 18:50:00	        сеанса нет 
  162	 1056	 6	 3:00:00 -  3:05:00	11:00:00 - 11:05:00	19:00:00 - 19:05:00	        сеанса нет 
  163	 1057	 3	 2:50:00 -  2:55:00	10:50:00 - 10:55:00	18:50:00 - 18:55:00	        сеанса нет 
  164	 1058	 6	 3:05:00 -  3:10:00	11:05:00 - 11:10:00	19:05:00 - 19:10:00	        сеанса нет 
  165	 1059	 6	 3:10:00 -  3:15:00	11:10:00 - 11:15:00	19:10:00 - 19:15:00	        сеанса нет 
  166	 1060	 6	 3:15:00 -  3:20:00	11:15:00 - 11:20:00	19:15:00 - 19:20:00	        сеанса нет 
  167	 1061	 6	 3:20:00 -  3:25:00	11:20:00 - 11:25:00	19:20:00 - 19:25:00	        сеанса нет 
  168	 1062	 3	 2:55:00 -  3:00:00	10:55:00 - 11:00:00	18:55:00 - 19:00:00	        сеанса нет 
  169	 1064	 6	 3:25:00 -  3:30:00	11:25:00 - 11:30:00	19:25:00 - 19:30:00	        сеанса нет 
  170	 1065	 6	 3:30:00 -  3:35:00	11:30:00 - 11:35:00	19:30:00 - 19:35:00	        сеанса нет 
  171	 1066	 6	 3:35:00 -  3:40:00	11:35:00 - 11:40:00	19:35:00 - 19:40:00	        сеанса нет 
  172	 1067	 6	 3:40:00 -  3:45:00	11:40:00 - 11:45:00	19:40:00 - 19:45:00	        сеанса нет 
  173	 1068	 3	 3:00:00 -  3:05:00	11:00:00 - 11:05:00	19:00:00 - 19:05:00	        сеанса нет 
  174	 1069	 6	 3:45:00 -  3:50:00	11:45:00 - 11:50:00	19:45:00 - 19:50:00	        сеанса нет 
  175	 1070	 6	 3:50:00 -  3:55:00	11:50:00 - 11:55:00	19:50:00 - 19:55:00	        сеанса нет 
  176	 1071	 6	 3:55:00 -  4:00:00	11:55:00 - 12:00:00	19:55:00 - 20:00:00	        сеанса нет 
  177	 1072	 6	 4:00:00 -  4:05:00	12:00:00 - 12:05:00	20:00:00 - 20:05:00	        сеанса нет 
  178	 1073	 6	 4:05:00 -  4:10:00	12:05:00 - 12:10:00	20:05:00 - 20:10:00	        сеанса нет 
  179	 1074	 6	 4:10:00 -  4:15:00	12:10:00 - 12:15:00	20:10:00 - 20:15:00	        сеанса нет 
  180	 1075	 6	 4:15:00 -  4:20:00	12:15:00 - 12:20:00	20:15:00 - 20:20:00	        сеанса нет 
  181	 1076	 6	 4:20:00 -  4:25:00	12:20:00 - 12:25:00	20:20:00 - 20:25:00	        сеанса нет 
  182	 1077	 6	 4:25:00 -  4:30:00	12:25:00 - 12:30:00	20:25:00 - 20:30:00	        сеанса нет 
  183	 1078	 6	 4:30:00 -  4:35:00	12:30:00 - 12:35:00	20:30:00 - 20:35:00	        сеанса нет 
  184	 1079	 6	 4:35:00 -  4:40:00	12:35:00 - 12:40:00	20:35:00 - 20:40:00	        сеанса нет 
  185	 1080	 3	 3:05:00 -  3:10:00	11:05:00 - 11:10:00	19:05:00 - 19:10:00	        сеанса нет 
  186	 1081	 3	 3:10:00 -  3:15:00	11:10:00 - 11:15:00	19:10:00 - 19:15:00	        сеанса нет 
  187	 1139	 1	 1:35:00 -  1:40:00	 9:35:00 -  9:40:00	17:35:00 - 17:40:00	        сеанса нет 
  188	 1140	 1	 1:40:00 -  1:45:00	 9:40:00 -  9:45:00	17:40:00 - 17:45:00	        сеанса нет 
  189	 1141	 1	 1:45:00 -  1:50:00	 9:45:00 -  9:50:00	17:45:00 - 17:50:00	        сеанса нет 
  190	 1142	 1	 1:50:00 -  1:55:00	 9:50:00 -  9:55:00	17:50:00 - 17:55:00	        сеанса нет 
  191	 1143	 1	 1:55:00 -  2:00:00	 9:55:00 - 10:00:00	17:55:00 - 18:00:00	        сеанса нет 
  192	 1144	 1	 2:00:00 -  2:05:00	10:00:00 - 10:05:00	18:00:00 - 18:05:00	        сеанса нет 
  193	 1145	 1	 2:05:00 -  2:10:00	10:05:00 - 10:10:00	18:05:00 - 18:10:00	        сеанса нет 
  194	 1146	 6	 4:40:00 -  4:45:00	12:40:00 - 12:45:00	20:40:00 - 20:45:00	        сеанса нет 
  195	 1147	 1	 2:10:00 -  2:15:00	10:10:00 - 10:15:00	18:10:00 - 18:15:00	        сеанса нет 
  196	 1148	 1	 2:15:00 -  2:20:00	10:15:00 - 10:20:00	18:15:00 - 18:20:00	        сеанса нет 
  197	 1149	 1	 2:20:00 -  2:25:00	10:20:00 - 10:25:00	18:20:00 - 18:25:00	        сеанса нет 
  198	 1150	 1	 2:25:00 -  2:30:00	10:25:00 - 10:30:00	18:25:00 - 18:30:00	        сеанса нет 
  199	 1151	 1	 2:30:00 -  2:35:00	10:30:00 - 10:35:00	18:30:00 - 18:35:00	        сеанса нет 
  200	 1152	 1	 2:35:00 -  2:40:00	10:35:00 - 10:40:00	18:35:00 - 18:40:00	        сеанса нет 
  201	 1153	 1	 2:40:00 -  2:45:00	10:40:00 - 10:45:00	18:40:00 - 18:45:00	        сеанса нет 
  202	 1154	 1	 2:45:00 -  2:50:00	10:45:00 - 10:50:00	18:45:00 - 18:50:00	        сеанса нет 
  203	 1155	 1	 2:50:00 -  2:55:00	10:50:00 - 10:55:00	18:50:00 - 18:55:00	        сеанса нет 
  204	 1156	 1	 2:55:00 -  3:00:00	10:55:00 - 11:00:00	18:55:00 - 19:00:00	        сеанса нет 
  205	 1157	 1	 3:00:00 -  3:05:00	11:00:00 - 11:05:00	19:00:00 - 19:05:00	        сеанса нет 
  206	 1158	 1	 3:05:00 -  3:10:00	11:05:00 - 11:10:00	19:05:00 - 19:10:00	        сеанса нет 
  207	 1159	 1	 3:10:00 -  3:15:00	11:10:00 - 11:15:00	19:10:00 - 19:15:00	        сеанса нет 
  208	 1160	 1	 3:15:00 -  3:20:00	11:15:00 - 11:20:00	19:15:00 - 19:20:00	        сеанса нет 
  209	 1161	 1	 3:20:00 -  3:25:00	11:20:00 - 11:25:00	19:20:00 - 19:25:00	        сеанса нет 
  210	 1162	 1	 3:25:00 -  3:30:00	11:25:00 - 11:30:00	19:25:00 - 19:30:00	        сеанса нет 
  211	 1163	 1	 3:30:00 -  3:35:00	11:30:00 - 11:35:00	19:30:00 - 19:35:00	        сеанса нет 
  212	 1164	 1	 3:35:00 -  3:40:00	11:35:00 - 11:40:00	19:35:00 - 19:40:00	        сеанса нет 
  213	 1165	 1	 3:40:00 -  3:45:00	11:40:00 - 11:45:00	19:40:00 - 19:45:00	        сеанса нет 
  214	 1166	 1	 3:45:00 -  3:50:00	11:45:00 - 11:50:00	19:45:00 - 19:50:00	        сеанса нет 
  215	 1167	 1	 3:50:00 -  3:55:00	11:50:00 - 11:55:00	19:50:00 - 19:55:00	        сеанса нет 
  216	 1168	 1	 3:55:00 -  4:00:00	11:55:00 - 12:00:00	19:55:00 - 20:00:00	        сеанса нет 
  217	 1169	 1	 4:00:00 -  4:05:00	12:00:00 - 12:05:00	20:00:00 - 20:05:00	        сеанса нет 
  218	 1170	 1	 4:05:00 -  4:10:00	12:05:00 - 12:10:00	20:05:00 - 20:10:00	        сеанса нет 
  219	 1171	 1	 4:10:00 -  4:15:00	12:10:00 - 12:15:00	20:10:00 - 20:15:00	        сеанса нет 
  220	 1172	 6	 4:45:00 -  4:50:00	12:45:00 - 12:50:00	20:45:00 - 20:50:00	        сеанса нет 
